COMMUNITY,RANK,DEGREE_NODE,DEGREE_VALUE,EIGENVECTOR_NODE,EIGENVECTOR_VALUE,PAGERANK_NODE,PAGERANK_VALUE
22,4,YPL084W,24,YKL041W,0.23956333431356885,YOR275C,0.027502702739697613
22,5,YOR275C,23,YKL002W,0.23416911890428824,YMR077C,0.02744118742221441
22,6,YKL041W,23,YPL084W,0.23297482227390726,YPL084W,0.026274590401711054
22,7,YNR006W,22,YLR417W,0.22647186238789,YNR006W,0.02561752581019858
22,8,YKL002W,22,YJR102C,0.2264718623878899,YKR035W-A,0.02551930556452567
22,9,YPR173C,21,YPL065W,0.22353010456028943,YKL041W,0.025289659930347402
22,10,YPL065W,21,YNR006W,0.2233817773454579,YKL002W,0.02413106108284187
23,1,YHR184W,8,YHR184W,0.38681961487002864,YHR184W,0.05838551784239028
23,2,YOR177C,7,YOR177C,0.38260687137235605,YOL015W,0.05238200072423463
23,3,YOL091W,7,YOL091W,0.38260687137235583,YOL091W,0.04866366453451076
23,4,YOL015W,6,YDR273W,0.36328112258037304,YFR012W-A,0.048494098093701504
23,5,YLR341W,6,YDL239C,0.3490139844112127,YER034W,0.0484819497550161
23,6,YFR012W-A,6,YGL170C,0.27033278864456284,YOR177C,0.04711200863217375
23,7,YDR273W,6,YOL015W,0.24624847662279958,YLR341W,0.04494617831751696
23,8,YDL239C,6,YLR227C,0.18645379285733807,YDL239C,0.04362622952921394
23,9,YHR103W,5,YHR185C,0.18645379285733796,YDR273W,0.0432047903347606
23,10,YGR147C,5,YOR042W,0.17682732972303497,YIL108W,0.04167553092260494
24,1,YMR058W,27,YMR058W,0.3514623105488896,YGL071W,0.027475714254997917
24,2,YGL071W,27,YGL071W,0.3263563642877603,YMR058W,0.02662042677128968
24,3,YER145C,25,YER145C,0.3048515355048729,YER145C,0.026552999545603934
24,4,YGL255W,17,YDR270W,0.2224093046824607,YGL255W,0.01989042321073823
24,5,YMR319C,15,YHL040C,0.22126727566505222,YJL056C,0.0177215012502985
24,6,YDR270W,15,YMR319C,0.21790694893813414,YOL163W,0.015595299537654395
24,7,YLR411W,14,YLR136C,0.19990330152644206,YLR411W,0.015360945294898362
24,8,YLR220W,14,YLR214W,0.19519592075423467,YDR270W,0.015096960173570248
24,9,YJL056C,14,YLR220W,0.1812707151283705,YMR319C,0.015037589442326006
24,10,YHL040C,14,YEL065W,0.16704231829191213,YLR220W,0.014320785363993359
25,1,YHL050C,37,YHR218W,0.2357310090438823,YHL050C,0.013449883693750577
25,2,YHR218W,36,YBL111C,0.23126589035180853,YHL049C,0.01156100964697233
25,3,YHL049C,35,YHR218W-A,0.21571550625381186,YHR218W,0.011429989720419826
25,4,YBL111C,35,YFL066C,0.20975241764909572,YFL066C,0.011209928818015325
25,5,YFL066C,34,YHL050C,0.20579942102652754,YBL111C,0.010813473939702483
25,6,YLL067C,30,YLL067C,0.19949134847056363,YLL067C,0.01026495356510926
25,7,YHR218W-A,30,YJL225C,0.19438882473911231,YHR219W,0.009803452841975513
25,8,YLR462W,29,YHL049C,0.19321341625607796,YFL067W,0.009509336298144053
25,9,YHR219W,29,YLR462W,0.19302470056310664,YHR218W-A,0.009207476374996406
25,10,YLR466W,28,YHR219W,0.19147298911482058,YNL339C,0.00907585194676028
26,1,YOR153W,18,YGR281W,0.3477054799302512,YOR153W,0.02398884601279847
26,2,YGR281W,18,YOR153W,0.3254332276734435,YGR281W,0.022192746577000055
26,3,YBL005W,15,YBL005W,0.30778045055996894,YBL005W,0.018975545992754424
26,4,YGL013C,13,YDR011W,0.2835428774429367,YOR378W,0.01875381974267605
26,5,YOR378W,12,YGL013C,0.26884337675111736,YOR162C,0.017572827309592726
26,6,YOR162C,12,YDR406W,0.2682193738398548,YGL013C,0.016697656141146388
26,7,YDR406W,12,YJL219W,0.25212021322869804,YCL069W,0.01659343607532587
26,8,YDR011W,12,YOL156W,0.2521202132286979,YBL094C,0.01562211388369501
26,9,YCL069W,11,YDR072C,0.25058322355541374,YDR011W,0.014655115162157404
26,10,YGR224W,10,YNL318C,0.22685933622041957,YDR406W,0.014522300231081036
27,1,YBR255W,6,YBR255W,0.4760751801616915,YBR255W,0.20579830374383037
27,2,YBR197C,5,YBR197C,0.4386546126065615,YBR197C,0.16758004595236797
27,3,YPR153W,4,YPR153W,0.41844816267870233,YMR126C,0.1372422931207088
27,4,YMR126C,4,YKL098W,0.41844816267870233,YKL098W,0.1358188844095459
27,5,YKL098W,4,YMR126C,0.4184481626787022,YPR153W,0.13572808271967754
27,6,YBR266C,2,YBR259W,0.14942700156544741,YBR259W,0.08601353454645994
27,7,YBR259W,2,YBR266C,0.1494270015654473,YBR266C,0.08601353454645992
27,8,YBR209W,1,YBR209W,0.10479075117478104,YBR209W,0.045805320960949525
28,1,YLR154W-F,4,YLR154C-G,0.447213595499958,YLR154W-F,0.20000000000000004
28,2,YLR154W-E,4,YLR154W-F,0.44721359549995787,YLR154W-B,0.20000000000000004
28,3,YLR154W-B,4,YLR154C-H,0.44721359549995787,YLR154C-H,0.20000000000000004
28,4,YLR154C-H,4,YLR154W-E,0.4472135954999578,YLR154W-E,0.2
28,5,YLR154C-G,4,YLR154W-B,0.4472135954999578,YLR154C-G,0.2
29,1,YGL123C-A,0,YGL123C-A,1.0,YGL123C-A,1.0
